dataType,Pred_label,Serovar,Sero_calling,seed,n_original_features,n_features_used,Feat_elim_method,train_test_split,filter_low_provFreq,filter_threshold,label_filtered,n,sampling_strat,model_type,stratified,Optimization,Recall,Precision,F1,Accuracy,Bal_acc,Kappa,runTime_mins,cv_split
OHE_allele,Location or Food,Heidelberg,FoodNet,42,14111,5644,RFE,0.2,Y,10,['Beef_animal'],179,SMOTE,SVM,Y,GridSearch,0.5502136752136753,0.49444444444444446,0.5198412698412699,0.6388888888888888,0.5502136752136753,0.4956896551724138,62.78452876408895,10
OHE_allele,Location or Food,Heidelberg,FoodNet,42,14111,8466,RFE,0.2,Y,10,['Beef_animal'],179,SMOTE,SVM,Y,GridSearch,0.5502136752136753,0.49444444444444446,0.5198412698412699,0.6388888888888888,0.5502136752136753,0.4956896551724138,62.78452876408895,10
OHE_allele,Location or Food,Heidelberg,FoodNet,42,14111,11288,RFE,0.2,Y,10,['Beef_animal'],179,SMOTE,SVM,Y,GridSearch,0.5502136752136753,0.49444444444444446,0.5198412698412699,0.6388888888888888,0.5502136752136753,0.4956896551724138,62.78452876408895,10
OHE_allele,Animal type,Heidelberg,FoodNet,777,14111,2822,RFECV,0.2,Y,10,['Beef'],179,SMOTE,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,57.210301486651105,10
OHE_allele,Animal type,Heidelberg,FoodNet,777,14111,14111,None,0.2,Y,10,['Beef'],179,SMOTE,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,10.001638754208882,10
OHE_allele,Animal type,Heidelberg,FoodNet,34,14111,2822,RFECV,0.2,Y,10,['Beef'],179,SMOTE,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,59.36875347693761,10
OHE_allele,Animal type,Heidelberg,FoodNet,42,14111,2822,RFECV,0.2,Y,10,['Beef'],179,SMOTE,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,63.001603269577025,10
OHE_allele,Animal type,Heidelberg,FoodNet,34,14111,14111,None,0.2,Y,10,['Beef'],179,SMOTE,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,9.742016235987345,10
OHE_allele,Animal type,Heidelberg,FoodNet,42,14111,14111,None,0.2,Y,10,['Beef'],179,SMOTE,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,11.237015529473622,10
OHE_allele,Location or Food,Heidelberg,FoodNet,34,14111,2822,RFECV,0.2,Y,10,['Beef_animal'],179,SMOTE,SVM,Y,GridSearch,0.5189636752136753,0.4583333333333333,0.48673153471915076,0.6111111111111112,0.5189636752136753,0.4563106796116505,73.03611261844635,10
OHE_allele,Animal type,Heidelberg,FoodNet,777,14111,2822,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,32.78609478871028,10
OHE_allele,Animal type,Heidelberg,FoodNet,777,14111,5644,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,32.78609478871028,10
OHE_allele,Animal type,Heidelberg,FoodNet,777,14111,8466,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,32.78609478871028,10
OHE_allele,Animal type,Heidelberg,FoodNet,777,14111,11288,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,32.78609478871028,10
OHE_allele,Location or Food,Heidelberg,FoodNet,777,14111,2822,RFECV,0.2,Y,10,['Beef_animal'],179,SMOTE,SVM,Y,GridSearch,0.5189636752136753,0.4583333333333333,0.48673153471915076,0.6111111111111112,0.5189636752136753,0.4563106796116505,93.18731113672257,10
OHE_allele,Animal type,Heidelberg,FoodNet,34,14111,2822,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,28.234523459275565,10
OHE_allele,Animal type,Heidelberg,FoodNet,34,14111,5644,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,28.234523459275565,10
OHE_allele,Animal type,Heidelberg,FoodNet,34,14111,8466,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,28.234523459275565,10
OHE_allele,Animal type,Heidelberg,FoodNet,34,14111,11288,RFE,0.2,Y,10,['Beef'],179,random_upsampling,SVM,Y,GridSearch,1.0,1.0,1.0,1.0,1.0,1.0,28.234523459275565,10
