node	model-type	root-dist	FN	FP	TN	TP	precision	recall	microF1	acc	bal-acc	cohens-kappa	macroP	macroR	macroF1	weightedP	weightedR	weightedF1	support
root	RandomForestClassifier	0	4	4	32	32	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.7684729064039408	0.6022099447513812	0.8516129032258064	0.7684729064039408	0.8	0.8831541218637993	0.8888888888888888	0.8814814814814815	36
East	RandomForestClassifier	1	6	6	23	23	0.7931034482758621	0.7931034482758621	0.7931034482758621	0.7931034482758621	0.6375	0.275	0.6375	0.6375	0.6375000000000001	0.7931034482758621	0.7931034482758621	0.7931034482758621	29
West	RandomForestClassifier	1	5	5	2	2	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2	-0.5217391304347827	0.25	0.2	0.22222222222222224	0.35714285714285715	0.2857142857142857	0.3174603174603175	7
