node	root-dist	hP	hR	hF1	n	nP	nT
East	1	0.925414364640884	0.9571428571428572	0.9410112359550563	700	700	700
NB	2	0.0	0.0	0.0	0	0	0
NL	2	0.0	0.0	0.0	0	0	0
NS	2	0.9722222222222222	1.0	0.9859154929577464	17	18	17
ON	2	0.8545081967213115	1.0	0.9215469613259669	193	244	193
PE	2	0.0	0.0	0.0	0	0	0
QC	2	0.9024640657084189	0.8969387755102041	0.8996929375639713	490	428	490
West	1	0.9447852760736196	0.9635036496350365	0.9540526587506454	959	948	959
AB	2	0.8974358974358975	1.0	0.945945945945946	226	273	226
BC	2	0.9148783977110158	0.916189111747851	0.9155332856120258	698	626	698
MB / SK	2	0.9230769230769231	1.0	0.9600000000000001	35	39	35
