node	parent-node	root-dist	FN	FP	TN	TP	precision	recall	f1-score	support
East	root	1	24	31	209	151	0.8296703296703297	0.8628571428571429	0.8459383753501402	175
West	root	1	31	24	151	209	0.8969957081545065	0.8708333333333333	0.8837209302325582	240
NS	East	2	1	1	170	3	0.75	0.75	0.75	4
ON	East	2	14	28	99	34	0.5483870967741935	0.7083333333333334	0.6181818181818182	48
QC	East	2	28	14	38	95	0.8715596330275229	0.7723577235772358	0.8189655172413793	123
AB	West	2	15	33	151	41	0.5540540540540541	0.7321428571428571	0.6307692307692307	56
BC	West	2	37	14	51	138	0.9078947368421053	0.7885714285714286	0.8440366972477064	175
MB / SK	West	2	2	7	224	7	0.5	0.7777777777777778	0.6086956521739131	9
