node	root-dist	hP	hR	hF1	n	nP	nT
East	1	0.9396433470507545	0.9785714285714285	0.9587123862841147	700	714	700
NB	2	0.0	0.0	0.0	0	0	0
NL	2	0.0	0.0	0.0	0	0	0
NS	2	0.9210526315789473	1.0	0.958904109589041	17	19	17
ON	2	0.8580246913580247	1.0	0.9235880398671097	193	243	193
PE	2	0.0	0.0	0.0	0	0	0
QC	2	0.9216494845360824	0.9122448979591836	0.9169230769230768	490	427	490
West	1	0.9546858908341915	0.9666319082377477	0.960621761658031	959	942	959
AB	2	0.8910714285714286	1.0	0.9423984891406988	226	280	226
BC	2	0.918293564714389	0.9097421203438395	0.9139978409499819	698	607	698
MB / SK	2	0.8902439024390244	1.0	0.9419354838709678	35	41	35
