node	parent-node	root-dist	FN	FP	TN	TP	precision	recall	f1-score	support
East	root	1	18	25	215	157	0.8626373626373627	0.8971428571428571	0.8795518207282913	175
West	root	1	25	18	157	215	0.9227467811158798	0.8958333333333334	0.9090909090909092	240
NS	East	2	2	2	169	2	0.5	0.5	0.5	4
ON	East	2	13	19	108	35	0.6481481481481481	0.7291666666666666	0.6862745098039215	48
QC	East	2	19	13	39	104	0.8888888888888888	0.8455284552845529	0.8666666666666666	123
AB	West	2	19	16	168	37	0.6981132075471698	0.6607142857142857	0.6788990825688073	56
BC	West	2	17	17	48	158	0.9028571428571428	0.9028571428571428	0.9028571428571428	175
MB / SK	West	2	2	5	226	7	0.5833333333333334	0.7777777777777778	0.6666666666666666	9
