node	parent-node	root-dist	FN	FP	TN	TP	precision	recall	f1-score	support
East	root	1	22	25	215	153	0.8595505617977528	0.8742857142857143	0.8668555240793201	175
West	root	1	25	22	153	215	0.9071729957805907	0.8958333333333334	0.9014675052410902	240
NS	East	2	1	1	170	3	0.75	0.75	0.75	4
ON	East	2	10	26	101	38	0.59375	0.7916666666666666	0.6785714285714286	48
QC	East	2	26	10	42	97	0.9065420560747663	0.7886178861788617	0.8434782608695651	123
AB	West	2	10	32	152	46	0.5897435897435898	0.8214285714285714	0.6865671641791046	56
BC	West	2	30	8	57	145	0.9477124183006536	0.8285714285714286	0.8841463414634146	175
MB / SK	West	2	4	4	227	5	0.5555555555555556	0.5555555555555556	0.5555555555555556	9
