node	model-type	root-dist	FN	FP	TN	TP	precision	recall	microF1	acc	bal-acc	cohens-kappa	macroP	macroR	macroF1	weightedP	weightedR	weightedF1	support
root	RandomForestClassifier	0	43	43	372	372	0.8963855421686747	0.8963855421686747	0.8963855421686747	0.8963855421686747	0.8964880952380953	0.7887040435735007	0.8926920718766213	0.8964880952380953	0.8943213649096002	0.8973994359743365	0.8963855421686747	0.8966346670102872	415
East	RandomForestClassifier	1	34	34	316	141	0.8057142857142857	0.8057142857142857	0.8057142857142857	0.8057142857142857	0.6915650406504065	0.5633348011155144	0.6790123456790124	0.6915650406504065	0.684313725490196	0.813968253968254	0.8057142857142857	0.8088067226890756	175
West	RandomForestClassifier	1	38	38	442	202	0.8416666666666667	0.8416666666666667	0.8416666666666667	0.8416666666666667	0.7804497354497354	0.6183940750659023	0.7281012279125486	0.7804497354497354	0.7494742973642056	0.8431014150943397	0.8416666666666667	0.841743119266055	240
