node	model-type	root-dist	FN	FP	TN	TP	precision	recall	microF1	acc	bal-acc	cohens-kappa	macroP	macroR	macroF1	weightedP	weightedR	weightedF1	support
root	RandomForestClassifier	0	47	47	368	368	0.8867469879518072	0.8867469879518072	0.8867469879518072	0.8867469879518072	0.8850595238095238	0.7683354118415583	0.8833617787891718	0.8850595238095238	0.8841615146602051	0.8870912465107194	0.8867469879518072	0.8868720914981751	415
East	RandomForestClassifier	1	37	37	313	138	0.7885714285714286	0.7885714285714286	0.7885714285714286	0.7885714285714286	0.7767615176151761	0.5495965498052309	0.750097352024922	0.7767615176151761	0.7573498964803312	0.8171695594125501	0.7885714285714286	0.7961100266193434	175
West	RandomForestClassifier	1	44	44	436	196	0.8166666666666667	0.8166666666666667	0.8166666666666667	0.8166666666666667	0.7351851851851853	0.5996360327570519	0.6976705211999329	0.7351851851851853	0.7087563537326916	0.8494804759510642	0.8166666666666667	0.8257223789588642	240
