node	model-type	root-dist	FN	FP	TN	TP	precision	recall	microF1	acc	bal-acc	cohens-kappa	macroP	macroR	macroF1	weightedP	weightedR	weightedF1	support
root	RandomForestClassifier	0	55	55	360	360	0.8674698795180723	0.8674698795180723	0.8674698795180723	0.8674698795180723	0.8668452380952381	0.729737730152152	0.8633330189124181	0.8668452380952381	0.8648296527913492	0.8686054883117814	0.8674698795180723	0.8677885275712977	415
East	RandomForestClassifier	1	43	43	307	132	0.7542857142857143	0.7542857142857143	0.7542857142857143	0.7542857142857143	0.7435636856368565	0.4710389427808238	0.7233155766005721	0.7435636856368565	0.7290491118077326	0.7801395171859807	0.7542857142857143	0.7623170622480968	175
West	RandomForestClassifier	1	54	54	426	186	0.775	0.775	0.775	0.775	0.7661640211640212	0.5151515151515151	0.6539829302987198	0.7661640211640212	0.6945005267302834	0.8100358582266478	0.775	0.7854489992124614	240
