node	parent-node	root-dist	FN	FP	TN	TP	precision	recall	f1-score	support
East	root	1	1	3	4	28	0.9032258064516129	0.9655172413793104	0.9333333333333333	29
West	root	1	3	1	28	4	0.8	0.5714285714285714	0.6666666666666666	7
ON	East	2	3	3	21	2	0.4	0.4	0.4000000000000001	5
QC	East	2	3	3	2	21	0.875	0.875	0.875	24
AB	West	2	3	2	0	2	0.5	0.4	0.4444444444444445	5
BC	West	2	2	3	2	0	0.0	0.0	0.0	2
